AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	collection_date	env_biome	env_feature	env_material	estimated_size	geo_loc_name	isol_growth_condt	isolate	lat_lon	num_replicons	ploidy	propagation	strain	Assay_Type	Consent	DATASTORE_filetype	LibrarySelection	LibrarySource	Organism
	374	PRJNA265883	SAMN03153664	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX748268	0	Illumina MiSeq	PAIRED	Section_Line	2019-02-14	618	371	ILLUMINA	2019-02-14	SRR1636746	SRS734463	SRP049423	Section Line	2011					USA: Klamath Mountains, CA			41.202086 N 122.844989 W				Section Line	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	518	PRJNA265883	SAMN03154482	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX749019	0	Illumina MiSeq	PAIRED	Carter_Meadow	2014-10-31	1055	597	ILLUMINA	2015-11-05	SRR1636747	SRS735000	SRP049423	Carter Meadow Bd strain	2011	small lake				USA: Cascade Mountains, CA			40.1892 N 121.2961 W				Carter Meadow	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	518	PRJNA265883	SAMN03154485	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX750351	0	Illumina MiSeq	PAIRED	JEL427-P9	2014-11-03	783	415	ILLUMINA	2015-11-05	SRR1639248	SRS736105	SRP049423	JEL427-P9 Bd strain	2005	montane subtropical rainforest				Puerto Rico: El Yunque National Forest			18.301000 N 65.800875 W				JEL427-P9	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	518	PRJNA265883	SAMN03154484	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX750356	0	Illumina MiSeq	PAIRED	JEL427-P17	2014-11-03	1074	569	ILLUMINA	2015-11-05	SRR1639274	SRS736109	SRP049423	JEL427-P17	2005	montane subtropical rainforest				Puerto Rico: El Yunque National Forest			18.301000 N 65.800875 W				JEL427-P17	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	518	PRJNA265883	SAMN03154483	Microbe, viral or environmental	UC BERKELEY	ncbi		SRX750380	0	Illumina MiSeq	PAIRED	JEL427-P39	2014-11-03	1009	568	ILLUMINA	2015-11-05	SRR1639277	SRS736126	SRP049423	JEL427-P39 Bd strain	2005	montane subtropical rainforest				Puerto Rico: El Yunque National Forest			18.301000 N 65.800875 W				JEL427-P39	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773598	MIGS.eu	IMPERIAL COLLEGE LONDON	sra-sos	sra-sos.public	SRX3359252	0	Illumina HiSeq 2000	PAIRED	ngs07_AVS2	2017-11-03	2310	1020	ILLUMINA	2017-11-03	SRR6252317	SRS2658215	SRP123576	AVS2	2015	missing	missing	not applicable	23.7Mb	Chile	missing		44.10822 S 73.11905 W	not applicable	missing	missing	AVS2	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773600	MIGS.eu	IMPERIAL COLLEGE LONDON	ncbi		SRX3359251	0	Illumina HiSeq 2000	PAIRED	ngs07_AVS7	2017-11-03	1167	520	ILLUMINA	2017-11-03	SRR6252318	SRS2658214	SRP123576	AVS7	2016	missing	missing	not applicable	23.7Mb	Chile	missing		39.83407 S 73.22283 W	not applicable	missing	missing	AVS7	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
	250	PRJNA413876	SAMN07773599	MIGS.eu	IMPERIAL COLLEGE LONDON	sra-sos	sra-sos.public	SRX3359250	0	Illumina HiSeq 2000	PAIRED	ngs07_AVS4	2017-11-03	2496	1107	ILLUMINA	2017-11-03	SRR6252319	SRS2658213	SRP123576	AVS4	2016	missing	missing	not applicable	23.7Mb	Chile	missing		34.96869 S 71.83751 W	not applicable	missing	missing	AVS4	WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164116		IMPERIAL COLLEGE	ncbi		SRX209756	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1145	530	ILLUMINA	2013-08-30	SRR630154	SRS379470	SRP017502	BLI1 (CH)	2010					Switzerland: Itingen								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164104		IMPERIAL COLLEGE	ncbi		SRX209767	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1157	589	ILLUMINA	2013-08-30	SRR630155	SRS379481	SRP017502	JEL423 (PA)	2004					Panama: Guabal								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164099		IMPERIAL COLLEGE	ncbi		SRX209762	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3605	1700	ILLUMINA	2013-08-30	SRR630411	SRS379476	SRP017502	ETH4 (ET)	2011					Ethiopia: Telilia Stream near Rira								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164113		IMPERIAL COLLEGE	ncbi		SRX209776	275	Illumina HiSeq 2000	PAIRED		2012-12-18	3630	1881	ILLUMINA	2013-08-30	SRR630414	SRS379490	SRP017502	ACON (CH)	2007					Switzerland: Gamlikon								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	197	PRJNA174849	SAMN01164096		IMPERIAL COLLEGE	ncbi		SRX209758	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1145	537	ILLUMINA	2013-08-30	SRR630421	SRS379472	SRP017502	VC1 (CA)	2009					Canada: Vancouver Island								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
assembly	198	PRJNA174849	SAMN01164106		IMPERIAL COLLEGE	ncbi		SRX209769	275	Illumina HiSeq 2000	PAIRED		2012-12-18	1147	556	ILLUMINA	2013-08-30	SRR630423	SRS379483	SRP017502	MODS27 (IT)	2010					Sardinia, Monte Olia								WGS	public	sra	RANDOM	GENOMIC	Batrachochytrium dendrobatidis
