SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
JEL429.vecclean	3112	19265318	200	190363	648	6190.65	191	28818	786	4586	NA	NA	NA	NA	NA	NA	NA
LFT001_10.vecclean	5583	20285189	200	201252	322	3633.39	149	36666	810	2220	NA	NA	NA	NA	NA	NA	NA
SRR632144.vecclean	7500	19098770	200	46144	1150	2546.50	863	5639	3895	1073	NA	NA	NA	NA	NA	NA	NA
SRR634692.vecclean	6650	19045070	200	78560	1321	2863.92	852	6289	3222	1413	NA	NA	NA	NA	NA	NA	NA
SRR634693.vecclean	4854	19111056	200	145134	1319	3937.18	536	10046	2004	2292	NA	NA	NA	NA	NA	NA	NA
SRR634780.vecclean	19215	9923938	200	568139	263	516.47	1405	513	14517	224	NA	NA	NA	NA	NA	NA	NA
SRR634821.vecclean	10101	21030255	200	113819	367	2082.00	592	9635	3350	572	NA	NA	NA	NA	NA	NA	NA
SRR634844.vecclean	2950	19217447	200	201177	593	6514.39	174	31648	699	5271	NA	NA	NA	NA	NA	NA	NA
SRR634964.vecclean	1838	19444354	202	179061	2144	10579.08	159	34413	614	6624	NA	NA	NA	NA	NA	NA	NA
SRR634966.vecclean	15044	27232341	200	162808	536	1810.18	494	12531	7209	559	NA	NA	NA	NA	NA	NA	NA
SRR634967.vecclean	3367	19201110	200	107820	781	5702.74	265	20882	1006	3922	NA	NA	NA	NA	NA	NA	NA
SRR634975.vecclean	3685	19170155	200	107820	985	5202.21	328	16877	1239	3283	NA	NA	NA	NA	NA	NA	NA
SRR634976.vecclean	3305	19179050	200	98651	662	5803.04	234	24557	896	4136	NA	NA	NA	NA	NA	NA	NA
SRR634977.vecclean	3318	19220261	200	178518	706	5792.72	226	22999	927	3905	NA	NA	NA	NA	NA	NA	NA
SRR634978.vecclean	3130	19193350	200	123545	660	6132.06	206	26951	814	4562	NA	NA	NA	NA	NA	NA	NA
SRR634979.vecclean	4408	19135819	200	83997	1225	4341.16	477	11720	1723	2638	NA	NA	NA	NA	NA	NA	NA
SRR634981.vecclean	3313	19176374	200	126915	684	5788.22	226	23591	907	4159	NA	NA	NA	NA	NA	NA	NA
SRR634983.vecclean	4350	19167467	200	74389	1129	4406.31	413	13405	1629	2507	NA	NA	NA	NA	NA	NA	NA
SRR635020.vecclean	3541	19229041	200	120080	810	5430.40	281	20151	1091	3619	NA	NA	NA	NA	NA	NA	NA
SRR635068.vecclean	3703	19159275	200	99445	953	5173.99	314	17374	1239	3316	NA	NA	NA	NA	NA	NA	NA
SRR635198.vecclean	3279	19170284	200	114850	701	5846.38	227	24443	908	4065	NA	NA	NA	NA	NA	NA	NA
SRR635199.vecclean	6169	19059696	200	58618	1400	3089.59	778	6867	2909	1622	NA	NA	NA	NA	NA	NA	NA
SRR635200.vecclean	3411	19207328	200	103093	777	5631.00	263	21438	1016	3849	NA	NA	NA	NA	NA	NA	NA
SRR635204.vecclean	3101	19233941	200	201229	644	6202.50	190	29195	773	4590	NA	NA	NA	NA	NA	NA	NA
SRR635205.vecclean	3083	19206393	200	183422	604	6229.77	179	30889	725	4855	NA	NA	NA	NA	NA	NA	NA
SRR635206.vecclean	3449	19231870	200	157107	771	5576.07	267	20634	1035	3757	NA	NA	NA	NA	NA	NA	NA
SRR635207.vecclean	4398	19123016	200	61216	1366	4348.12	476	11841	1741	2589	NA	NA	NA	NA	NA	NA	NA
SRR635208.vecclean	8285	18900905	200	42268	1197	2281.34	1223	4583	4326	1091	NA	NA	NA	NA	NA	NA	NA
UM142.vecclean	8705	21297704	200	201206	331	2446.61	195	28913	1961	603	NA	NA	NA	NA	NA	NA	NA
