CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	7703	9492	-	BAVOBER1_006892-T1		g00025_19	90	345	4663
scaffold_1	11281	12228	+	BAVOBER1_000001-T1		g00025_21	80	339	4229
scaffold_1	13163	15079	-	BAVOBER1_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	17888	19134	+	BAVOBER1_000003-T1		g01053_1	98	341	341
scaffold_1	20386	22195	+	BAVOBER1_000004-T1		g01027_2	98	346	695
scaffold_1	22390	25701	-	BAVOBER1_000005-T1		g00815_2	80	344	348
scaffold_1	26646	28271	+	BAVOBER1_000006-T1		g00691_1	98	346	348
scaffold_1	28340	28927	-	BAVOBER1_000007-T1		g04916	98	344	345
scaffold_1	29281	31169	+	BAVOBER1_000008-T1		g01742	98	346	1038
scaffold_1	31155	33598	+	BAVOBER1_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	33422	35379	-	BAVOBER1_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	35481	37157	-	BAVOBER1_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	37719	39329	+	BAVOBER1_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	39363	44819	-	BAVOBER1_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	51969	55424	-	BAVOBER1_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	55529	55927	-	BAVOBER1_000018-T1		g00397	98	346	1037
scaffold_1	57648	58880	-	BAVOBER1_000019-T1		g00160_3	98	327	331
scaffold_1	61581	64196	+	BAVOBER1_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	64276	68404	+	BAVOBER1_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	69120	71585	+	BAVOBER1_000022-T1		g00027_15	98	345	347
scaffold_1	72347	75906	+	BAVOBER1_000023-T1		g00760_1	98	345	350
scaffold_1	75984	78284	+	BAVOBER1_000024-T1		g02137	98	346	350
scaffold_1	78278	81620	-	BAVOBER1_000025-T1		g00034_2	98	346	348
scaffold_1	82288	83760	-	BAVOBER1_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	85563	86874	+	BAVOBER1_000027-T1		g00528	98	344	346
scaffold_1	86886	90631	-	BAVOBER1_000028-T1		g01711	98	346	349
scaffold_1	90729	91853	-	BAVOBER1_000029-T1		g01786	98	345	688
scaffold_1	92160	94372	-	BAVOBER1_000030-T1		g01786	98	345	688
scaffold_1	94971	95663	-	BAVOBER1_000031-T1		g02596	98	346	347
scaffold_1	95719	96308	-	BAVOBER1_000032-T1		g00017	98	346	346
scaffold_1	96939	98575	+	BAVOBER1_000033-T1		g00460_2	98	346	1202
scaffold_1	99013	99973	-	BAVOBER1_000034-T1		g02790	98	345	348
scaffold_1	100291	101156	+	BAVOBER1_000035-T1		g00460_2	98	346	1202
scaffold_1	101067	104935	-	BAVOBER1_000036-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	104287	106958	-	BAVOBER1_000037-T1	Nuclear receptor 2C2-associated protein	g00597_2	98	346	1042
scaffold_1	107240	108818	+	BAVOBER1_000038-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	108836	109495	-	BAVOBER1_000039-T1		g06005	98	343	344
