CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	5326	7115	-	JEL427.P17_007548-T1		g00025_19	90	345	4663
scaffold_1	9795	10741	+	JEL427.P17_000001-T1		g00025_21	80	339	4229
scaffold_1	11061	14895	-	JEL427.P17_000002-T1	DNA mismatch repair protein msh6	g01062	98	318	424
scaffold_1	15736	17393	-	JEL427.P17_000003-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	20274	21520	+	JEL427.P17_000004-T1		g01053_1	98	341	341
scaffold_1	22772	24581	+	JEL427.P17_000005-T1		g01027_2	98	346	695
scaffold_1	24954	26539	-	JEL427.P17_000006-T1		g00815_2	80	344	348
scaffold_1	26940	27107	-	JEL427.P17_000007-T1		g00815_2	80	344	348
scaffold_1	28257	29882	+	JEL427.P17_000008-T1		g00691_1	98	346	348
scaffold_1	29951	30538	-	JEL427.P17_000009-T1		g04916	98	344	345
scaffold_1	30892	32778	+	JEL427.P17_000010-T1		g01742	98	346	1038
scaffold_1	32764	35207	+	JEL427.P17_000011-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	35031	36988	-	JEL427.P17_000012-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	37090	38766	-	JEL427.P17_000013-T1	sorting nexin	g03562	98	345	346
scaffold_1	39328	41144	+	JEL427.P17_000014-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	41178	46687	-	JEL427.P17_000015-T1	Coronin-2B	g00787	98	345	967
scaffold_1	47254	47712	+	JEL427.P17_000017-T1		g00207_3	98	346	1397
scaffold_1	48161	50389	+	JEL427.P17_000018-T1		g01486	98	346	708
scaffold_1	50857	51920	+	JEL427.P17_000019-T1	Eukaryotic translation initiation factor eIF-1	g00918	98	346	17
scaffold_1	51929	54431	+	JEL427.P17_000020-T1		g00918	98	346	17
scaffold_1	55142	57551	-	JEL427.P17_000021-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	57891	59978	-	JEL427.P17_000022-T1		g00397	98	346	1037
scaffold_1	61161	61712	-	JEL427.P17_000023-T1		g00160_3	98	327	331
scaffold_1	62186	62539	-	JEL427.P17_000024-T1		g00044_3	98	308	368
scaffold_1	64924	67539	+	JEL427.P17_000025-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	67619	71747	+	JEL427.P17_000026-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	72463	74928	+	JEL427.P17_000027-T1		g00027_15	98	345	347
scaffold_1	75690	79249	+	JEL427.P17_000028-T1		g00760_1	98	345	350
scaffold_1	79327	81627	+	JEL427.P17_000029-T1		g02137	98	346	350
scaffold_1	81621	84963	-	JEL427.P17_000030-T1		g00034_2	98	346	348
scaffold_1	85751	87223	-	JEL427.P17_000031-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	89026	90361	+	JEL427.P17_000032-T1		g00528	98	344	346
scaffold_1	90373	94118	-	JEL427.P17_000033-T1		g01711	98	346	349
scaffold_1	94216	95389	-	JEL427.P17_000034-T1		g00349_1	98	346	971
scaffold_1	95640	97702	+	JEL427.P17_000035-T1		g00043_4	98	344	358
scaffold_1	98010	100222	-	JEL427.P17_000036-T1		g01786	98	345	688
scaffold_1	100823	101515	-	JEL427.P17_000037-T1		g02596	98	346	347
scaffold_1	101571	102160	-	JEL427.P17_000038-T1		g00017	98	346	346
scaffold_1	102812	104352	+	JEL427.P17_000039-T1		g00460_2	98	346	1202
scaffold_1	104889	105849	-	JEL427.P17_000040-T1		g02790	98	345	348
scaffold_1	106167	107032	+	JEL427.P17_000041-T1		g00460_2	98	346	1202
scaffold_1	107061	109980	-	JEL427.P17_000042-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	110163	110661	-	JEL427.P17_000043-T1	Nuclear receptor 2C2-associated protein	g00460_2	98	346	1202
scaffold_1	110807	112834	-	JEL427.P17_000044-T1		g00597_2	98	346	1042
