CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	6129	7918	-	BdBE1_006862-T1		g00025_19	90	345	4663
scaffold_1	10179	11126	+	BdBE1_000001-T1		g00025_21	80	339	4229
scaffold_1	12061	13977	-	BdBE1_000002-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	16955	18201	+	BdBE1_000003-T1		g01053_1	98	341	341
scaffold_1	19453	21256	+	BdBE1_000004-T1		g01027_2	98	346	695
scaffold_1	21451	24762	-	BdBE1_000005-T1		g00815_2	80	344	348
scaffold_1	25707	27332	+	BdBE1_000006-T1		g00691_1	98	346	348
scaffold_1	27401	27988	-	BdBE1_000007-T1		g04916	98	344	345
scaffold_1	28342	30228	+	BdBE1_000008-T1		g01742	98	346	1038
scaffold_1	30214	32657	+	BdBE1_000009-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	32481	34438	-	BdBE1_000010-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	34540	36216	-	BdBE1_000011-T1	sorting nexin	g03562	98	345	346
scaffold_1	36778	38388	+	BdBE1_000012-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	38422	43878	-	BdBE1_000013-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	51028	54483	-	BdBE1_000017-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	54588	54986	-	BdBE1_000018-T1		g00397	98	346	1037
scaffold_1	56707	57939	-	BdBE1_000019-T1		g00160_3	98	327	331
scaffold_1	60640	63255	+	BdBE1_000020-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	63335	67463	+	BdBE1_000021-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	68179	70644	+	BdBE1_000022-T1		g00027_15	98	345	347
scaffold_1	71406	74965	+	BdBE1_000023-T1		g00760_1	98	345	350
scaffold_1	75043	77343	+	BdBE1_000024-T1		g02137	98	346	350
scaffold_1	77337	80679	-	BdBE1_000025-T1		g00034_2	98	346	348
scaffold_1	81347	82819	-	BdBE1_000026-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	84904	85829	+	BdBE1_000027-T1		g00528	98	344	346
scaffold_1	86043	89788	-	BdBE1_000028-T1		g01711	98	346	349
scaffold_1	89886	91010	-	BdBE1_000029-T1		g01786	98	345	688
scaffold_1	91317	93529	-	BdBE1_000030-T1		g01786	98	345	688
scaffold_1	94130	94822	-	BdBE1_000031-T1		g02596	98	346	347
scaffold_1	94878	95467	-	BdBE1_000032-T1		g00017	98	346	346
scaffold_1	98281	99241	-	BdBE1_000033-T1		g02790	98	345	348
scaffold_1	99559	100424	+	BdBE1_000034-T1		g00460_2	98	346	1202
scaffold_1	100335	104203	-	BdBE1_000035-T1	ERMES complex subunit	g00460_2	98	346	1202
scaffold_1	103555	106226	-	BdBE1_000036-T1	Nuclear receptor 2C2-associated protein	g00597_2	98	346	1042
scaffold_1	106508	108086	+	BdBE1_000037-T1	Cyclin-dependent kinase 20	g02691	98	346	347
scaffold_1	108104	108763	-	BdBE1_000038-T1		g06005	98	343	344
scaffold_1	108862	112058	+	BdBE1_000039-T1	AdoMet-dependent rRNA methyltransferase spb1	g00027_82	98	346	676
scaffold_1	112555	114186	+	BdBE1_000040-T1		g00027_82	98	346	676
scaffold_1	114234	115591	-	BdBE1_000041-T1		g02042	98	345	346
scaffold_1	116681	120722	-	BdBE1_000042-T1		g00942	98	346	678
scaffold_1	120942	122148	-	BdBE1_000043-T1		g00942	98	346	678
scaffold_1	122441	123326	-	BdBE1_000044-T1		g01350	98	346	1045
scaffold_1	123936	126659	-	BdBE1_000045-T1	DnaJ sub C member 7	g01159	98	346	788
scaffold_1	126730	129065	+	BdBE1_000046-T1		g00573_2	98	346	1046
scaffold_1	130244	135268	-	BdBE1_000047-T1	Phosphatidylinositol 4-kinase pik1alpha (PI4-kinase)(PtdIns-4-kinase)	g00573_2	98	346	1046
scaffold_1	135246	136469	-	BdBE1_000048-T1	Ribosomal RNA small subunit methyltransferase mra1	g01257	98	345	1037
scaffold_1	136747	141234	-	BdBE1_000049-T1		g00047_5	98	345	686
scaffold_1	141586	142383	-	BdBE1_000050-T1		g00047_5	98	345	686
scaffold_1	142318	150756	+	BdBE1_000051-T1	kinase subunit of RNA polymerase II carboxy-terminal domain kinase I	g00568	98	346	1056
scaffold_1	147679	150808	-	BdBE1_000052-T1	GTP binding protein	g00568	98	346	1056
scaffold_1	152242	153390	+	BdBE1_000053-T1		g00070	98	346	1251
scaffold_1	153921	155562	+	BdBE1_000054-T1	ribosome bioproteinsis protein tsr3	g00070	98	346	1251
scaffold_1	155477	156325	-	BdBE1_000055-T1		g00070	98	346	1251
scaffold_1	157746	159358	+	BdBE1_000056-T1		g02626	98	344	344
scaffold_1	159970	161026	-	BdBE1_000057-T1	casein kinase 2 regulatory subunit	g00523	98	346	1737
scaffold_1	161403	162652	-	BdBE1_000058-T1	tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like protein	g00523	98	346	1737
scaffold_1	163144	166165	-	BdBE1_000059-T1		g00179_3	98	345	692
scaffold_1	166741	169580	+	BdBE1_000060-T1		g00531	98	346	1417
scaffold_1	169719	172289	+	BdBE1_000061-T1		g00026_223	80	346	8582
scaffold_1	172297	172736	-	BdBE1_000062-T1		g03743	98	344	345
scaffold_1	172971	175016	+	BdBE1_000063-T1	mitotic spindle checkpoint protein Bub3	g00026_223	80	346	8582
scaffold_1	175227	176896	+	BdBE1_000064-T1		g00164	98	345	2131
scaffold_1	177406	179780	+	BdBE1_000065-T1		g01374	98	345	512
scaffold_1	179840	181723	+	BdBE1_000066-T1		g03321	98	344	348
scaffold_1	181760	185256	-	BdBE1_000067-T1		g00168_2	98	345	2842
scaffold_1	188235	190256	+	BdBE1_000068-T1		g01113	98	345	948
scaffold_1	190350	192215	+	BdBE1_000069-T1		g01709_2	95	134	134
scaffold_1	193842	195229	-	BdBE1_000071-T1		g01709_1	98	342	343
