CHROM	START	END	STRAND	MRNAID	PROTEIN_PRODUCT	FAMILY	CLUSTER_PID	GENOME_COUNT	TOTAL_GENE_COUNT
scaffold_1	9838	11627	-	TW16.206_007292-T1		g00025_19	90	345	4663
scaffold_1	12567	13088	+	TW16.206_000001-T1		g00025_18	98	345	1293
scaffold_1	13169	13513	+	TW16.206_000002-T1		g00025_21	80	339	4229
scaffold_1	14450	16366	-	TW16.206_000003-T1	Molybdate-anion transporter	g02524	98	342	345
scaffold_1	19173	20419	+	TW16.206_000004-T1		g01053_1	98	341	341
scaffold_1	21671	23474	+	TW16.206_000005-T1		g01027_2	98	346	695
scaffold_1	23669	26980	-	TW16.206_000006-T1		g00815_2	80	344	348
scaffold_1	27925	29550	+	TW16.206_000007-T1		g00691_1	98	346	348
scaffold_1	29619	30206	-	TW16.206_000008-T1		g04916	98	344	345
scaffold_1	30560	32446	+	TW16.206_000009-T1		g01742	98	346	1038
scaffold_1	32432	34875	+	TW16.206_000010-T1	Electron transfer flavoprotein alpha-subunit	g01742	98	346	1038
scaffold_1	34699	36656	-	TW16.206_000011-T1	Dihydroorotate dehydrogenase (quinone), mitochondrial	g01742	98	346	1038
scaffold_1	36758	38434	-	TW16.206_000012-T1	sorting nexin	g03562	98	345	346
scaffold_1	38996	40606	+	TW16.206_000013-T1	Histone deacetylase 8	g00207_3	98	346	1397
scaffold_1	40640	46096	-	TW16.206_000014-T1	Coronin-2B	g00207_3	98	346	1397
scaffold_1	53246	56701	-	TW16.206_000018-T1	SCF ubiquitin ligase complex subunit cdc4	g00397	98	346	1037
scaffold_1	56806	57204	-	TW16.206_000019-T1		g00397	98	346	1037
scaffold_1	58924	60156	-	TW16.206_000020-T1		g00160_3	98	327	331
scaffold_1	62857	65472	+	TW16.206_000021-T1	tRNA pseudouridine synthase 1	g00886	98	346	1378
scaffold_1	65552	69680	+	TW16.206_000022-T1	serine/threonine-protein kinase HAL4/sat4	g00886	98	346	1378
scaffold_1	70396	72861	+	TW16.206_000023-T1		g00027_15	98	345	347
scaffold_1	73623	77182	+	TW16.206_000024-T1		g00760_1	98	345	350
scaffold_1	77260	79560	+	TW16.206_000025-T1		g02137	98	346	350
scaffold_1	79554	82896	-	TW16.206_000026-T1		g00034_2	98	346	348
scaffold_1	83564	85036	-	TW16.206_000027-T1	Transcriptional adapter ada2	g00456_1	98	341	342
scaffold_1	86839	88174	+	TW16.206_000028-T1		g00528	98	344	346
scaffold_1	88186	91931	-	TW16.206_000029-T1		g01711	98	346	349
scaffold_1	92029	93153	-	TW16.206_000030-T1		g01786	98	345	688
