SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Percent_reads_mapped	Mapped_reads	Average_Coverage
02.OZ	1249	19684124	1000	276036	4141	15759.91	116	43268	497	7293	93.5	92.1	92.1	92.1	1.7	4.8	290	14583612	91.8945%	13395413	85.1
03.OZ	1394	19657052	1000	275819	3832	14101.19	128	37531	569	6203	93.4	92.4	92.4	92.4	1.7	4.9	290	14929706	92.4263%	13841440	88.0
06.OZ	1223	19559481	1000	275870	3521	15993.03	108	48166	457	8290	93.5	92.1	92.1	92.1	1.7	4.8	290	23279656	92.1980%	21353424	136.5
07.OZ	1497	19606789	1000	276036	3936	13097.39	148	33254	640	5737	93.1	92.1	92.1	92.1	2.1	4.8	290	22518014	92.5525%	20804723	132.6
0710-1	1303	19665796	1000	286607	3814	15092.71	117	42640	516	6910	93.4	92.4	92.4	92.4	1.4	5.2	290	18101812	89.5763%	16170074	102.8
0711.1	1290	19659555	1000	286680	3911	15239.97	120	42450	512	7196	93.8	92.8	92.8	92.8	1.4	4.8	290	19227534	90.6702%	17388067	110.6
0739	1352	19320689	1000	183829	3926	14290.45	137	38681	555	7143	93.8	92.8	92.8	92.8	1.7	4.5	290	36515490	87.8955%	32017907	165.7
08MG02	1451	19658604	1000	275870	3853	13548.31	136	36507	609	5947	93.8	92.8	92.8	92.8	1.7	4.5	290	24117240	90.3121%	21990486	139.8
08MG05	1447	19655708	1000	276036	3970	13583.77	142	35763	613	5948	93.4	92.4	92.4	92.4	1.7	4.9	290	37409590	91.2315%	34347676	218.4
09.OZ	1405	19663087	1000	278146	4193	13995.08	139	34901	598	6214	93.1	92.1	92.1	92.1	2.4	4.5	290	22902294	90.0909%	20582760	130.8
11.OZ	1206	19729789	991	276036	3750	16359.69	99	48153	450	7798	94.1	93.1	93.1	93.1	1.7	4.2	290	16984760	92.5772%	15706487	99.5
12.OZ	1293	19676219	996	276036	3685	15217.49	107	45621	495	7109	93.8	92.8	92.8	92.8	2.1	4.1	290	20409490	90.8853%	18545060	117.8
13.OZ	1279	19691289	1000	276036	3681	15395.85	108	48625	495	6692	93.4	92.4	92.4	92.4	1.7	4.9	290	20908606	91.0847%	19010071	120.7
14.OZ	1232	19717258	1000	276497	3848	16004.27	105	47416	470	7769	93.8	92.8	92.8	92.8	1.4	4.8	290	19481790	92.2231%	17964834	113.9
15.OZ	1334	19698604	1000	279892	3969	14766.57	121	39419	542	6623	92.7	91.7	91.7	91.7	2.4	4.9	290	13906182	91.2206%	12707494	80.6
16.OZ	1339	19668746	932	278146	3979	14689.13	120	39414	541	6565	93.4	92.4	92.4	92.4	2.1	4.5	290	16715102	91.7924%	15341467	97.5
18.OZ	1198	19752436	1000	279892	3821	16487.84	101	50649	451	8380	93.1	92.1	92.1	92.1	2.4	4.5	290	16009256	90.5749%	14494212	91.7
20.OZ	1206	19681230	666	279892	3787	16319.43	99	51323	452	8288	93.8	92.8	92.8	92.8	2.1	4.1	290	11563450	90.8838%	10511001	66.8
22.OZ	1292	19679996	1000	276036	3793	15232.20	115	43315	507	7247	93.8	92.8	92.8	92.8	2.1	4.1	290	19210798	91.7981%	17596734	111.8
23.OZ	1295	19687108	211	279892	4131	15202.40	119	40303	524	6736	93.8	92.8	92.8	92.8	1.7	4.5	290	19564342	90.0942%	17541072	111.4
24.OZ	1213	19722031	1000	275870	3515	16258.89	100	52841	444	8046	93.8	92.8	92.8	92.8	1.7	4.5	290	16287974	91.3092%	14831858	94.0
25.OZ	1334	19633803	1000	284663	4051	14717.99	124	39063	542	6863	93.8	92.4	92.4	92.4	1.7	4.5	290	17450958	92.1551%	16127608	102.7
28.OZ	1281	19698842	1000	275870	3722	15377.71	108	47184	492	6868	93.8	92.8	92.8	92.8	1.7	4.5	290	23242570	92.8073%	21625681	137.2
30.OZ	1293	19693390	1000	275870	3685	15230.77	109	46467	499	7015	93.4	92.4	92.4	92.4	2.1	4.5	290	22611418	91.1355%	20787816	131.9
33.OZ	1389	19659288	1000	276036	3943	14153.56	136	36465	577	6342	93.4	92.4	92.4	92.4	2.1	4.5	290	19906428	91.2566%	18156206	115.4
34.OZ	1408	19610961	1000	278146	3909	13928.24	141	36272	587	6048	93.4	92.4	92.4	92.4	1.7	4.9	290	22341830	91.2000%	20536160	130.9
35.OZ	1341	19652925	1000	276036	4042	14655.43	127	39064	552	6438	93.1	92.1	92.1	92.1	2.4	4.5	290	20034750	92.1113%	18443918	117.3
36.OZ	1324	19700814	1000	276497	3708	14879.77	113	42450	519	6467	93.4	92.4	92.4	92.4	2.1	4.5	290	18436270	92.3779%	17067967	108.3
37.OZ	1327	19688106	192	276036	3813	14836.55	112	42921	521	6543	93.1	92.1	92.1	92.1	2.1	4.8	290	18642496	91.9136%	17165781	109.0
38.OZ	1276	19693928	211	275870	3855	15434.11	109	45036	498	7017	93.1	92.1	92.1	92.1	2.4	4.5	290	17839228	91.5258%	16363126	103.9
39.OZ	1200	19714099	1000	275870	3704	16428.42	95	52849	447	8086	93.1	91.7	91.7	91.7	2.1	4.8	290	16234552	91.2667%	14840063	94.1
40.OZ	1243	22531825	1000	494412	3897	18126.97	89	60316	448	9430	93.5	92.8	92.8	92.8	2.4	4.1	290	12575950	88.1210%	11080327	61.5
41.OZ	1388	19625968	1000	284663	4202	14139.75	134	36309	583	6251	93.4	92.4	92.4	92.4	2.1	4.5	290	16670658	90.9812%	15242151	97.1
42.OZ	1241	19674378	998	284663	3954	15853.65	103	48805	487	7293	93.4	92.4	92.4	92.4	2.4	4.2	290	13969064	91.0437%	12677381	80.5
43.OZ	1214	19681408	1000	276036	3988	16212.03	108	46488	469	8294	93.4	92.4	92.4	92.4	2.4	4.2	290	12506224	90.3505%	11334395	72.0
44.OZ	1365	19659119	1000	275870	3953	14402.28	130	39301	563	6346	93.4	92.4	92.4	92.4	1.7	4.9	290	15036586	91.7095%	13789658	87.7
45.OZ	1460	19616824	733	275870	3969	13436.18	139	35652	618	5823	93.4	92.4	92.4	92.4	1.7	4.9	290	22817066	92.0371%	21008203	133.9
46.OZ	1392	19673100	1000	275870	3894	14132.97	133	38164	574	6400	93.4	92.4	92.4	92.4	1.7	4.9	290	21598618	91.5162%	19761644	125.6
47.OZ	1248	19684661	1000	275870	3832	15772.97	109	45514	483	7853	94.2	92.8	92.8	92.8	1.7	4.1	290	19925498	90.4309%	18157050	115.3
49.OZ	1201	19679576	1000	276036	3886	16385.99	109	47172	455	8181	94.1	93.1	93.1	93.1	2.1	3.8	290	19085754	91.1987%	17399882	110.5
ACON_(CH)	1486	19228817	1001	182473	4693	12939.98	182	31271	672	6193	93.4	92.4	92.4	92.4	1.0	5.6	290	38453574	86.4944%	33283113	171.4
ADMALA	1194	19418464	1000	275846	4833	16263.37	116	43191	493	7972	93.8	92.8	92.8	92.8	1.7	4.5	290	27467086	91.3270%	25088026	129.2
ANS_13No1	1260	19383074	1000	276012	4548	15383.39	129	39661	525	7692	93.4	92.4	92.4	92.4	1.4	5.2	290	45414688	89.4250%	40451372	208.7
ANS_13No10	1304	19314755	1000	275829	4014	14811.93	134	39111	535	7580	93.8	92.8	92.8	92.8	1.4	4.8	290	66492366	80.8299%	54333296	281.3
ANS_13No12	1294	19370526	1000	276012	4581	14969.49	139	37268	545	7750	93.8	92.8	92.8	92.8	1.4	4.8	290	47246852	88.9889%	41842129	216.0
ANS_13No4	1244	19384161	1000	284646	4542	15582.12	127	40405	511	7695	93.8	92.8	92.8	92.8	1.7	4.5	290	45058752	89.0399%	40021221	206.5
ANS_13No7	1356	19383250	1000	201267	4118	14294.43	140	38548	570	6854	93.8	92.8	92.8	92.8	1.7	4.5	290	40210296	85.3572%	34441171	177.7
AP15_(IT)	2293	22761776	1000	275850	2775	9926.64	164	35443	1040	3161	93.5	92.8	92.8	92.8	2.1	4.4	290	41383474	90.1032%	37339406	162.4
APEP_(CH)	1274	19392237	989	259622	5229	15221.54	144	38550	555	7756	92.7	91.7	91.7	91.7	2.8	4.5	290	25400000	89.7783%	22877764	118.0
AUL_(FR)	1499	19403397	1000	276009	4211	12944.23	150	34055	656	5789	94.1	93.1	93.1	93.1	1.4	4.5	290	45053818	84.0509%	37915309	193.5
AVS2	1284	19685808	1000	262236	3934	15331.63	118	41314	510	7224	92.7	91.7	91.7	91.7	2.8	4.5	290	19383156	90.6818%	17614832	111.8
AVS4	1391	19653588	1000	261143	4292	14129.11	138	36114	586	6434	92.7	91.7	91.7	91.7	2.1	5.2	290	20945784	89.8312%	18916233	120.3
AVS7	1243	19658648	1000	278168	3652	15815.49	103	51092	464	7470	93.4	92.4	92.4	92.4	2.1	4.5	290	9790610	92.4439%	9045839	57.5
Acherito.1.2_15	1291	19649304	1000	279892	4154	15220.22	118	44208	527	7184	93.8	92.8	92.8	92.8	1.4	4.8	290	19671550	89.4376%	17636330	112.2
Acherito.3.1_15	1288	19661992	989	286411	4024	15265.52	121	41120	518	6982	93.4	92.4	92.4	92.4	1.4	5.2	290	19242684	86.8936%	16763351	106.6
